74,62,A
71,65,A
69,79,B
59,70,B
64,77,B
70,59,A
66,55,A
57,62,B
74,68,A
60,69,B
70,62,A
63,71,B
46,58,B
81,56,A
73,72,A
38,68,B
66,70,B
85,78,A
66,60,A
56,60,B
77,67,A
45,55,B
73,56,A
54,67,B
69,71,B
74,63,A
57,48,A
66,48,A
68,73,B
77,82,B
51,65,B
63,53,A
74,60,A
48,87,B
78,81,B
55,80,B
49,54,B
62,75,B
90,78,A
59,73,B
84,72,A
67,73,B
56,81,B
68,56,A
80,65,A
50,73,B
60,43,A
69,51,A
56,54,A
58,60,B
60,67,B
52,56,B
67,54,A
91,79,A
61,59,A
75,68,A
47,72,B
89,83,A
67,56,A
72,60,A
66,64,A
87,68,A
69,64,A
93,77,A
67,66,A
67,74,B
104,59,A
67,62,A
91,84,A
81,56,A
81,55,A
80,50,A
72,87,B
88,62,A
72,82,B
64,66,B
68,78,B
60,74,B
64,66,B
76,70,A
52,69,B
72,88,B
91,58,A
87,73,A
70,64,A
88,75,A
69,74,B
59,49,A
74,79,B
57,74,B
89,79,A
50,68,B
63,69,B
64,93,B
65,93,B
46,74,B
57,87,B
67,62,A
66,82,B
67,38,A
59,71,B
47,67,B
60,66,B
54,56,B
39,72,B
61,73,B
55,62,B
53,58,B
73,58,A
72,71,A
48,57,B
72,70,A
83,89,B
82,92,B
89,58,A
70,67,A
85,77,A
59,58,A
76,69,A
67,69,B
68,70,B
79,64,A
100,41,A
76,70,A
68,59,A
66,48,A
73,76,B
68,79,B
94,99,B
67,70,B
60,88,B
69,57,A
56,65,B
64,57,A
62,69,B
63,71,B
50,64,B
63,68,B
81,87,B
48,67,B
87,62,A
73,66,A
66,81,B
43,62,B
62,81,B
62,55,A
75,73,A
50,69,B
65,67,B
68,80,B
61,72,B
95,64,A
69,63,A
71,79,B
60,70,B
74,71,A
75,67,A
68,71,B
97,93,A
65,63,A
48,66,B
65,57,A
58,61,B
73,86,B
62,88,B
77,66,A
53,76,B
81,84,B
59,79,B
78,82,B
53,56,B
74,61,A
68,57,A
77,49,A
81,62,A
79,49,A
95,67,A
86,50,A
54,63,B
47,64,B
44,43,A
69,48,A
102,62,A
74,59,A
65,57,A
69,53,A
61,60,A
71,51,A
69,58,A
61,54,A
69,51,A
80,76,A
69,66,A
50,45,A
63,58,A
55,76,B
73,62,A
77,49,A
57,58,B
45,51,B
71,51,A
58,37,A
71,57,A
72,58,A
85,54,A
56,62,B
69,40,A
65,49,A
68,74,B
71,35,A
64,66,B
80,50,A
62,60,A
41,56,B
72,59,A
56,49,A
61,53,A
43,76,B
61,80,B
53,49,A
45,41,A
44,57,B
64,68,B
58,63,B
73,56,A
63,55,A
57,62,B
77,73,A
78,77,A
80,62,A
101,55,A
77,60,A
72,70,A
59,58,A
76,66,A
65,64,A
95,68,A
51,53,B
82,70,A
82,65,A
71,75,B
65,74,B
61,56,A
84,61,A
83,73,A
64,76,B
90,66,A
82,71,A
80,43,A
58,63,B
75,55,A
83,40,A
86,81,A
68,55,A
55,64,B
61,56,A
51,45,A
107,61,A
96,70,A
82,72,A
88,60,A
80,86,B
53,60,B
78,61,A
82,67,A
88,51,A
68,54,A
90,58,A
67,49,A
79,66,A
81,62,A
95,89,A
88,60,A
68,81,B
96,68,A
76,63,A
78,66,A
68,63,A
101,80,A
85,70,A
72,71,A
69,75,B
81,80,A
70,56,A
78,58,A
82,72,A
84,79,A
66,67,B
82,64,A
56,46,A
75,81,B
84,58,A
96,84,A
76,79,B
72,51,A
81,47,A
83,80,A
59,67,B
80,68,A
64,73,B
66,80,B
76,88,B
75,65,A
84,67,A
72,69,A
76,69,A
65,53,A
57,54,A
86,79,A
96,58,A
68,75,B
81,72,A
80,71,A
72,90,B
59,77,B
93,81,A
56,78,B
81,70,A
77,70,A
78,58,A
64,69,B
57,56,A
54,61,B
56,66,B
62,81,B
99,94,A
62,88,B
74,84,B
69,86,B
72,77,B
59,71,B
66,78,B
62,87,B
61,84,B
64,83,B
94,96,B
65,60,A
111,77,A
83,94,B
97,64,A
91,55,A
83,74,A
91,90,A
74,64,A
66,72,B
79,69,A
85,66,A
80,63,A
82,59,A
86,48,A
77,79,B
79,57,A
59,72,B
69,65,A
95,60,A
67,46,A
78,56,A
80,65,A
89,91,B
83,63,A
89,68,A
0,0,A
0,0,A
0,0,A
0,0,A
0,0,A
94,75,A
81,84,B
83,96,B
70,59,A
67,84,B
94,88,A
